unique_dest,avg_ttl,sum_pay,port_count,target
1,106,96,1,Benign
1,105,192,1,Benign
1,105,96,1,Benign
1,105,84,1,Benign
1,47,15568413,2,Benign
1,47,35239010,2,Benign
1,108,192,1,Benign
1,46,672,1,Benign
1,44,288,1,Benign
1,109,38,1,Benign
1,45,264,3,Benign
1,44,95,1,Benign
1,44,147,1,Benign
1,109,96,1,Benign
1,108,96,1,Benign
1,45,90,1,Benign
1,45,96,1,Benign
1,110,96,1,Benign
1,109,96,1,Benign
1,237,18639,1,Benign
1,109,18,1,Benign
1,107,18,1,Benign
1,107,5610,1,Benign
1,108,96,1,Benign
1,107,96,1,Benign
1,108,96,1,Benign
1,106,196,3,Benign
1,107,288,1,Benign
1,107,192,1,Benign
1,108,576,1,Benign
1,111,71,1,Benign
1,47,65,1,Benign
1,50,65,1,Benign
1,113,96,1,Benign
1,50,64,1,Benign
1,49,58,1,Benign
1,113,62,1,Benign
1,113,192,1,Benign
1,113,96,1,Benign
1,113,576,1,Benign
1,113,96,1,Benign
1,114,18,1,Benign
1,114,62,1,Benign
1,113,96,1,Benign
1,113,96,1,Benign
1,113,192,1,Benign
1,105,96,1,Benign
1,45,18,1,Benign
1,101,86,1,Benign
1,102,463,1,Benign
1,101,158,1,Benign
1,106,26,1,Benign
1,110,96,1,Benign
1,108,96,1,Benign
1,109,1847,1,Benign
1,108,96,1,Benign
1,106,96,1,Benign
1,42,130,1,Benign
1,107,96,1,Benign
1,40,336,1,Benign
1,236,26,1,Benign
1,109,1056,1,Benign
1,107,96,1,Benign
1,43,96,1,Benign
1,107,90,1,Benign
1,44,27,1,Benign
1,108,96,1,Benign
1,108,96,1,Benign
1,106,113,1,Benign
1,109,26,1,Benign
1,108,96,1,Benign
1,43,71,1,Benign
1,43,86,1,Benign
1,45,86,1,Benign
1,109,96,1,Benign
1,109,96,1,Benign
1,107,96,1,Benign
1,106,26,1,Benign
1,108,26,1,Benign
1,111,62,1,Benign
1,113,333,1,Benign
1,113,333,1,Benign
1,49,333,1,Benign
1,47,38,1,Benign
1,49,111,1,Benign
1,48,333,1,Benign
1,111,192,1,Benign
1,49,333,1,Benign
1,111,22560,1,Benign
1,49,333,1,Benign
1,47,104,1,Benign
1,110,71,1,Benign
1,111,192,1,Benign
1,109,539,1,Benign
1,47,96,1,Benign
1,113,18,1,Benign
1,109,0,1,Benign
1,79,1192,5,Benign
1,106,71,1,Benign
1,105,130,1,Benign
1,110,18,1,Benign
1,105,18,1,Benign
1,102,96,1,Benign
1,105,96,1,Benign
1,109,18,1,Benign
1,107,65,1,Benign
1,107,42,1,Benign
1,107,15147,8,Benign
1,48,237258,1,Benign
1,110,72,1,Benign
1,112,2997,1,Benign
1,105,96,1,Benign
1,42,86,1,Benign
3,116,5698,1,Bot
1,79,200,2,Benign
1,106,113,1,Benign
1,42,65,1,Benign
1,233,267,3,Benign
1,43,96,1,Benign
3,115,646,1,Bot
2,115,418,1,Bot
5,116,13522,1,Bot
1,107,192,1,Benign
4,109,352,1,Bot
6,117,418,1,Bot
1,43,167,1,Benign
1,50,555,1,Benign
1,47,192,1,Benign
1,45,96,1,Benign
1,109,198,1,Benign
1,115,122,1,Bot
1,44,66,3,Benign
1,109,96,1,Benign
1,108,126,1,Benign
1,44,94,1,Benign
1,53,38,1,Bot
1,45,96,1,Benign
1,107,105,1,Benign
1,44,38,1,Benign
1,110,132,1,Benign
1,45,96,1,Benign
1,110,126,1,Benign
1,108,96,1,Benign
1,110,192,1,Benign
1,45,65,1,Benign
1,46,132,1,Benign
1,46,18,1,Benign
1,39,65,1,Benign
1,109,43,1,Benign
1,110,1056,1,Benign
7,111,342,1,Bot
5,114,190,1,Bot
1,44,180,1,Benign
1,42,96,1,Benign
1,108,63,1,Benign
3,50,2434,1,Bot
1,108,158,1,Benign
1,108,43,1,Benign
1,109,288,1,Benign
1,45,71,1,Benign
1,109,288,1,Benign
1,108,96,1,Benign
1,117,330,2,Bot
1,107,96,1,Benign
2,115,266,1,Bot
1,113,96,1,Benign
